size	state	dataset	V7	pacbio_frag_ID	steps	inter_chr	inter_char_proportion	num_chr	max_span	min_coordinate	max_coordinate	max_int_dist	min_int_dist	sum_dists	first_to_last_frag_dist	chr	different_compartment_ints_number	number_of_compartment_types	compartment	number_of_compartments	different_compartment_index_ints_number	first_compartment	percentage_downstream	number_of_simplified_chrom_states	simplified_chrom_state	class	full_dataset_ID
long	ns	26APR16	1141	ns_26APR16_long_1141	1	0	0	1	630376	126456773	127090742	630376	630376	630376	630376	chr11	1	2	non_unique_compartment	2	1	plus	1	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	1194	ns_26APR16_long_1194	1	1	1	2	NA	70693065	101039362	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	1232	ns_26APR16_long_1232	2	0	0	1	71788	30905796	30978486	45395	26393	71788	71788	chrX	0	1	plus	1	0	plus	1	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	1628	ns_26APR16_long_1628	1	0	0	1	488780	18402045	18891701	488780	488780	488780	488780	chr7	0	1	minus	1	0	minus	0	1	Active	1	ns long 26APR16
long	ns	26APR16	1670	ns_26APR16_long_1670	5	2	0.4	2	NA	25047155	73094584	661090	55410	NA	NA	*	1	2	non_unique_compartment	4	3	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	1808	ns_26APR16_long_1808	3	0	0	1	16181050	20068609	36250533	10612948	1031243	18243536	16181050	chr3	0	1	minus	3	2	minus	0.3333333333333333	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	2327	ns_26APR16_long_2327	1	0	0	1	30740161	11219409	41960039	30740161	30740161	30740161	30740161	chr5	0	1	minus	2	1	minus	1	1	Active	1	ns long 26APR16
long	ns	26APR16	2430	ns_26APR16_long_2430	3	2	0.6666666666666666	2	NA	36028578	94899510	1104970	1104970	NA	NA	*	2	2	non_unique_compartment	2	2	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	2524	ns_26APR16_long_2524	1	1	1	2	NA	61669564	76788995	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	3125	ns_26APR16_long_3125	1	0	0	1	620227	139641786	140262692	620227	620227	620227	620227	chr8	0	1	minus	1	0	minus	0	1	Active	1	ns long 26APR16
long	ns	26APR16	3487	ns_26APR16_long_3487	2	1	0.5	2	NA	36808617	146043334	43625730	43625730	NA	NA	*	0	1	plus	3	2	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	3702	ns_26APR16_long_3702	3	0	0	1	4948488	35008323	39957078	3813153	379749	4948488	4948488	chr18	0	1	minus	2	1	minus	0	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	3787	ns_26APR16_long_3787	13	4	0.3076923076923077	2	NA	143959872	180312453	36038221	5162	NA	NA	*	6	2	non_unique_compartment	5	8	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	3941	ns_26APR16_long_3941	1	0	0	1	641739	158774022	159416022	641739	641739	641739	641739	chr1	0	1	minus	1	0	minus	0	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	3970	ns_26APR16_long_3970	3	0	0	1	4266706	160255220	164522374	4266706	1593017	8180691	352721	chr5	0	1	minus	2	2	minus	0.6666666666666666	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	4824	ns_26APR16_long_4824	1	1	1	2	NA	125897051	188835070	-Inf	Inf	NA	NA	*	0	1	minus	2	1	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	5293	ns_26APR16_long_5293	2	1	0.5	2	NA	37507773	95965712	12223353	12223353	NA	NA	*	1	2	non_unique_compartment	3	2	minus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	5561	ns_26APR16_long_5561	3	0	0	1	13889057	154760233	168650241	10785571	102914	13889057	13889057	chr3	0	1	minus	3	2	minus	0	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	6908	ns_26APR16_long_6908	5	3	0.6	2	NA	22865792	71759729	47623650	1628747	NA	NA	*	2	2	non_unique_compartment	4	4	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	7075	ns_26APR16_long_7075	5	0	0	1	18628474	23918747	42548294	18591637	18904	37792142	497386	chr12	2	2	non_unique_compartment	2	2	minus	0.4	1	Active	1	ns long 26APR16
long	ns	26APR16	7223	ns_26APR16_long_7223	3	0	0	1	20779021	15018235	35797513	12609301	45292	20779021	20779021	chr8	2	2	non_unique_compartment	3	2	minus	0	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	7607	ns_26APR16_long_7607	6	1	0.16666666666666666	2	NA	604593	80954381	32548846	1077	NA	NA	*	3	3	non_unique_compartment	5	3	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	9421	ns_26APR16_long_9421	2	1	0.5	2	NA	86990968	170397509	3072075	3072075	NA	NA	*	2	2	non_unique_compartment	3	2	plus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	9634	ns_26APR16_long_9634	1	0	0	1	5691564	7421389	13114275	5691564	5691564	5691564	5691564	chr2	0	1	minus	2	1	minus	0	1	Inactive	1	ns long 26APR16
long	ns	26APR16	9719	ns_26APR16_long_9719	4	1	0.25	2	NA	35780421	215428645	1604520	182117	NA	NA	*	1	2	non_unique_compartment	3	2	plus	NA	1	Inactive	2	ns long 26APR16
long	ns	26APR16	9977	ns_26APR16_long_9977	1	1	1	2	NA	59058871	70908094	-Inf	Inf	NA	NA	*	0	1	plus	2	1	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	10100	ns_26APR16_long_10100	1	1	1	2	NA	65133389	147711565	-Inf	Inf	NA	NA	*	1	2	non_unique_compartment	2	1	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
long	ns	26APR16	10196	ns_26APR16_long_10196	2	2	1	2	NA	10530707	36902718	-Inf	Inf	NA	NA	*	0	1	plus	3	2	plus	NA	1	Active	2	ns long 26APR16
long	ns	26APR16	10232	ns_26APR16_long_10232	1	0	0	1	333595	38449523	38783619	333595	333595	333595	333595	chr13	0	1	plus	1	0	plus	0	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	10815	ns_26APR16_long_10815	3	0	0	1	40559755	60994699	101554739	40223441	687368	80783196	336314	chr1	1	2	non_unique_compartment	4	3	plus	0.3333333333333333	2	non_unique_chrom_state	1	ns long 26APR16
long	ns	26APR16	11122	ns_26APR16_long_11122	5	2	0.4	2	NA	24096070	175981476	5510425	260474	NA	NA	*	2	2	non_unique_compartment	4	4	minus	NA	2	non_unique_chrom_state	2	ns long 26APR16
